lineage_id,source_schema,source_table,target_schema,target_table,relationship_type,sp_name
1,bronze,brz_saleshistory_afi__invoicedetail_edw,bronze,brz_saleshistory_afi__invoicedetail,direct,bronze.brz_saleshistory_afi__invoicedetail
2,bronze,brz_saleshistory_afi__invoiceheader_edw,bronze,brz_saleshistory_afi__invoiceheader,direct,bronze.brz_saleshistory_afi__invoiceheader
3,bronze,brz_supplychain_enh_1__demandforecastsnapshotdaily_edw,bronze,brz_supplychain_enh_1__demandforecastsnapshotdaily,direct,bronze.brz_supplychain_enh_1__demandforecastsnapshotdaily
4,Enterprise_Lakehouse,Wholesale_Codis_AFI.codatan,bronze,brz_wholesale_codis_afi__codatan,direct,bronze.brz_wholesale_codis_afi__codatan
5,Enterprise_Lakehouse,Wholesale_Codis_AFI.COMAST,bronze,brz_wholesale_codis_afi__comast,direct,bronze.brz_wholesale_codis_afi__comast
6,Enterprise_Lakehouse,Wholesale_Codis_AFI.EXTORD,bronze,brz_wholesale_codis_afi__extord,direct,bronze.brz_wholesale_codis_afi__extord
7,Enterprise_Lakehouse,Wholesale_Codis_AFI.EXTORIT,bronze,brz_wholesale_codis_afi__extorit,direct,bronze.brz_wholesale_codis_afi__extorit
8,Enterprise_Lakehouse,MasterData_DW.DimDate,bronze,ref_calendar,direct,bronze.ref_calendar
9,Enterprise_Lakehouse,Customers.AccountMaster,bronze,ref_customer_account,direct,bronze.ref_customer_account
10,Enterprise_Lakehouse,Wholesale_ProductSourcing_AFI.CustomerGrouping,bronze,ref_customer_account_group,direct,bronze.ref_customer_account_group
11,Enterprise_Lakehouse,Wholesale_ProductSourcing_AFI.CustomerGrouping,bronze,ref_customer_grouping,direct,bronze.ref_customer_grouping
12,Enterprise_Lakehouse,Customers.ShippingLocations,bronze,ref_customer_shipping_location,direct,bronze.ref_customer_shipping_location
13,SupplyChain_Lakehouse,dbo.ref_forecast_cycle,bronze,ref_forecast_cycle,direct,bronze.ref_forecast_cycle
14,manual,manual,bronze,ref_forecast_horizon,direct,bronze.ref_forecast_horizon
15,Enterprise_Lakehouse,MasterData_DW.DimItemMaster,bronze,ref_item_master,direct,bronze.ref_item_master
16,Enterprise_Lakehouse,Wholesale_Codis_AFI.AAORDTYP,bronze,ref_order_type,direct,bronze.ref_order_type
17,bronze,ref_product_edw,bronze,ref_product,direct,bronze.ref_product
18,Enterprise_Lakehouse,SupplyChain_DW.DimAFIWarehouses,bronze,ref_warehouse,direct,bronze.ref_warehouse
19,silver,slv_actual_demand_monthly,gold,gld_fact_flat_forecast_actual,direct,gold.gld_fact_flat_forecast_actual
20,silver,slv_forecast_demand_monthly,gold,gld_fact_flat_forecast_actual,direct,gold.gld_fact_flat_forecast_actual
21,silver,slv_naive_forecast_monthly,gold,gld_fact_flat_forecast_actual,direct,gold.gld_fact_flat_forecast_actual
22,bronze,ref_forecast_horizon,gold,gld_fact_forecast_kpi,direct,gold.gld_fact_forecast_kpi
23,silver,slv_actual_demand_monthly,gold,gld_fact_forecast_kpi,direct,gold.gld_fact_forecast_kpi
24,silver,slv_forecast_demand_monthly,gold,gld_fact_forecast_kpi,direct,gold.gld_fact_forecast_kpi
25,silver,slv_naive_forecast_monthly,gold,gld_fact_forecast_kpi,direct,gold.gld_fact_forecast_kpi
26,bronze,ref_calendar,gold,dim_calendar,direct,gold::dim_calendar
27,bronze,ref_customer_grouping,gold,dim_customer_grouping,direct,gold::dim_customer_grouping
28,bronze,ref_forecast_horizon,gold,dim_forecast_horizon,direct,gold::dim_forecast_horizon
29,bronze,ref_product,gold,dim_product,direct,gold::dim_product
30,bronze,ref_warehouse,gold,dim_warehouse,direct,gold::dim_warehouse
31,bronze,ref_calendar,silver,slv_actual_demand_monthly,direct,silver.slv_actual_demand_monthly
32,bronze,ref_customer_account_group,silver,slv_actual_demand_monthly,direct,silver.slv_actual_demand_monthly
33,silver,slv_invoice_detail_line_level,silver,slv_actual_demand_monthly,direct,silver.slv_actual_demand_monthly
34,silver,slv_open_order_line_level,silver,slv_actual_demand_monthly,direct,silver.slv_actual_demand_monthly
35,bronze,ref_calendar,silver,slv_actual_demand_weekly,direct,silver.slv_actual_demand_weekly
36,bronze,ref_customer_account_group,silver,slv_actual_demand_weekly,direct,silver.slv_actual_demand_weekly
37,silver,slv_invoice_detail_line_level,silver,slv_actual_demand_weekly,direct,silver.slv_actual_demand_weekly
38,silver,slv_open_order_line_level,silver,slv_actual_demand_weekly,direct,silver.slv_actual_demand_weekly
39,bronze,brz_supplychain_enh_1__demandforecastsnapshotdaily,silver,slv_forecast_demand_monthly,direct,silver.slv_forecast_demand_monthly
40,bronze,ref_calendar,silver,slv_forecast_demand_monthly,direct,silver.slv_forecast_demand_monthly
41,bronze,ref_forecast_cycle,silver,slv_forecast_demand_monthly,direct,silver.slv_forecast_demand_monthly
42,bronze,brz_saleshistory_afi__invoicedetail,silver,slv_invoice_detail_line_level,direct,silver.slv_invoice_detail_line_level
43,bronze,brz_saleshistory_afi__invoiceheader,silver,slv_invoice_detail_line_level,direct,silver.slv_invoice_detail_line_level
44,bronze,ref_customer_account_group,silver,slv_invoice_detail_line_level,direct,silver.slv_invoice_detail_line_level
45,bronze,ref_calendar,silver,slv_invoice_weekly,direct,silver.slv_invoice_weekly
46,silver,slv_invoice_detail_line_level,silver,slv_invoice_weekly,direct,silver.slv_invoice_weekly
47,bronze,ref_calendar,silver,slv_naive_forecast_monthly,direct,silver.slv_naive_forecast_monthly
48,silver,slv_actual_demand_monthly,silver,slv_naive_forecast_monthly,direct,silver.slv_naive_forecast_monthly
49,bronze,brz_wholesale_codis_afi__codatan,silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
50,bronze,brz_wholesale_codis_afi__comast,silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
51,bronze,brz_wholesale_codis_afi__extord,silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
52,bronze,brz_wholesale_codis_afi__extorit,silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
53,bronze,ref_item_master,silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
54,bronze,ref_order_type,silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
55,bronze,ref_calendar,silver,slv_open_order_monthly,direct,silver.slv_open_order_monthly
56,bronze,ref_customer_account_group,silver,slv_open_order_monthly,direct,silver.slv_open_order_monthly
57,silver,slv_open_order_line_level,silver,slv_open_order_monthly,direct,silver.slv_open_order_monthly
