lineage_id,source_schema,source_table,target_schema,target_table,relationship_type,sp_name
1,bronze,brz_saleshistory_afi__invoicedetail,silver,slv_invoice_detail_line_level,direct,meta.usp_generic_load
2,bronze,brz_saleshistory_afi__invoiceheader,silver,slv_invoice_detail_line_level,direct,meta.usp_generic_load
3,bronze,brz_supplychain_enh_1__demandforecastsnapshotdaily,silver,slv_forecast_demand_monthly,direct,meta.usp_generic_load
4,bronze,brz_wholesale_codis_afi__codatan,silver,slv_open_order_line_level,direct,meta.usp_generic_load
5,bronze,brz_wholesale_codis_afi__comast,silver,slv_open_order_line_level,direct,meta.usp_generic_load
6,bronze,brz_wholesale_codis_afi__extord,silver,slv_open_order_line_level,direct,meta.usp_generic_load
7,bronze,brz_wholesale_codis_afi__extorit,silver,slv_open_order_line_level,direct,meta.usp_generic_load
8,bronze,ref_calendar,silver,slv_open_order_monthly,direct,meta.usp_generic_load
9,bronze,ref_calendar,silver,slv_forecast_demand_monthly,direct,meta.usp_generic_load
10,bronze,ref_calendar,silver,slv_actual_demand_weekly,direct,meta.usp_generic_load
11,bronze,ref_calendar,silver,slv_invoice_weekly,direct,meta.usp_generic_load
12,bronze,ref_calendar,silver,slv_naive_forecast_monthly,direct,meta.usp_generic_load
13,bronze,ref_calendar,silver,slv_actual_demand_monthly,direct,meta.usp_generic_load
14,bronze,ref_customer_account_group,silver,slv_open_order_monthly,direct,meta.usp_generic_load
15,bronze,ref_customer_account_group,silver,slv_actual_demand_weekly,direct,meta.usp_generic_load
16,bronze,ref_customer_account_group,silver,slv_invoice_detail_line_level,direct,meta.usp_generic_load
17,bronze,ref_customer_account_group,silver,slv_actual_demand_monthly,direct,meta.usp_generic_load
18,bronze,ref_forecast_cycle,silver,slv_forecast_demand_monthly,direct,meta.usp_generic_load
19,bronze,ref_forecast_horizon,gold,gld_fact_forecast_kpi,direct,meta.usp_generic_load
20,bronze,ref_item_master,silver,slv_open_order_line_level,direct,meta.usp_generic_load
21,bronze,ref_order_type,silver,slv_open_order_line_level,direct,meta.usp_generic_load
22,Enterprise_Lakehouse,Customers.AccountMaster,bronze,ref_customer_account,direct,meta.usp_generic_load
23,Enterprise_Lakehouse,Customers.ShippingLocations,bronze,ref_customer_shipping_location,direct,meta.usp_generic_load
24,Enterprise_Lakehouse,MasterData_DW.DimDate,bronze,ref_calendar,direct,meta.usp_generic_load
25,Enterprise_Lakehouse,MasterData_DW.DimItemMaster,bronze,ref_item_master,direct,meta.usp_generic_load
26,Enterprise_Lakehouse,SalesHistory_AFI.InvoiceDetail,bronze,brz_saleshistory_afi__invoicedetail,direct,meta.usp_generic_load
27,Enterprise_Lakehouse,SalesHistory_AFI.InvoiceHeader,bronze,brz_saleshistory_afi__invoiceheader,direct,meta.usp_generic_load
28,Enterprise_Lakehouse,SupplyChain_DW.DimAFIWarehouses,bronze,ref_warehouse,direct,meta.usp_generic_load
29,Enterprise_Lakehouse,SupplyChain_DW.DimCurrentProductDetails,bronze,ref_product,direct,meta.usp_generic_load
30,Enterprise_Lakehouse,SupplyChain_Enh_1.DemandForecastSnapshotDaily,bronze,brz_supplychain_enh_1__demandforecastsnapshotdaily,direct,meta.usp_generic_load
31,Enterprise_Lakehouse,Wholesale_Codis_AFI.AAORDTYP,bronze,ref_order_type,direct,meta.usp_generic_load
32,Enterprise_Lakehouse,Wholesale_Codis_AFI.codatan,bronze,brz_wholesale_codis_afi__codatan,direct,meta.usp_generic_load
33,Enterprise_Lakehouse,Wholesale_Codis_AFI.COMAST,bronze,brz_wholesale_codis_afi__comast,direct,meta.usp_generic_load
34,Enterprise_Lakehouse,Wholesale_Codis_AFI.EXTORD,bronze,brz_wholesale_codis_afi__extord,direct,meta.usp_generic_load
35,Enterprise_Lakehouse,Wholesale_Codis_AFI.EXTORIT,bronze,brz_wholesale_codis_afi__extorit,direct,meta.usp_generic_load
