sp_name,status,rows_affected,duration_seconds,start_time,load_type
gold.gld_fact_forecast_kpi,success,9113008,12,2026-04-19 10:02:50.730000,overwrite
gold.gld_fact_flat_forecast_actual,success,14756986,22,2026-04-19 10:02:44.640000,overwrite
silver.slv_naive_forecast_monthly,success,331229,7,2026-04-19 09:59:45.853333,overwrite
silver.slv_open_order_monthly,success,109899,5,2026-04-19 09:54:46.830000,overwrite
silver.slv_actual_demand_weekly,success,1071412,20,2026-04-19 09:54:46.773333,overwrite
silver.slv_actual_demand_monthly,success,548808,15,2026-04-19 09:54:46.600000,overwrite
silver.slv_invoice_weekly,success,15570494,144,2026-04-19 09:54:46.573333,overwrite
silver.slv_open_order_line_level,success,233446,16,2026-04-19 09:51:20.466667,overwrite
silver.slv_invoice_detail_line_level,success,35543068,29,2026-04-19 09:51:20.220000,overwrite
silver.slv_forecast_demand_monthly,success,13876949,113,2026-04-19 09:51:18.983333,overwrite
bronze.brz_wholesale_codis_afi__extorit,success,912132,15,2026-04-19 09:48:20.590000,overwrite
bronze.ref_customer_shipping_location,success,127570,12,2026-04-19 09:47:58.090000,overwrite
bronze.ref_customer_account_group,success,35454,1,2026-04-19 09:47:53.763333,overwrite
bronze.brz_wholesale_codis_afi__extord,success,225179,4,2026-04-19 09:47:46.163333,overwrite
bronze.brz_saleshistory_afi__invoiceheader,success,4038205,33,2026-04-19 09:47:45.300000,overwrite
bronze.brz_supplychain_enh_1__demandforecastsnapshotdaily,success,1306460284,3,2026-04-19 09:47:42.110000,incremental
bronze.ref_forecast_horizon,success,8,1,2026-04-19 09:47:39.900000,overwrite
bronze.ref_item_master,success,379566,24,2026-04-19 09:47:37.886667,overwrite
bronze.ref_customer_account,success,35593,2,2026-04-19 09:47:30.510000,overwrite
bronze.ref_calendar,success,21551,2,2026-04-19 09:47:30.406667,overwrite
bronze.ref_warehouse,success,55,1,2026-04-19 09:47:28.173333,overwrite
bronze.ref_product,success,373326,11,2026-04-19 09:47:27.200000,overwrite
bronze.brz_wholesale_codis_afi__codatan,success,918213,15,2026-04-19 09:47:17.526667,overwrite
bronze.brz_wholesale_codis_afi__comast,success,225218,3,2026-04-19 09:47:16.716667,overwrite
bronze.brz_saleshistory_afi__invoicedetail,success,35543068,33,2026-04-19 09:47:16.693333,overwrite
bronze.ref_order_type,success,29,2,2026-04-19 09:47:16.566667,overwrite
bronze.ref_forecast_cycle,success,43,2,2026-04-19 09:47:16.553333,overwrite
bronze.ref_customer_grouping,success,9,2,2026-04-19 09:47:16.553333,overwrite
silver.slv_naive_forecast_monthly,success,334086,6,2026-04-19 09:18:49.403333,overwrite
silver.slv_actual_demand_monthly,success,552197,12,2026-04-19 09:13:49.040000,overwrite
silver.slv_actual_demand_weekly,success,1081394,20,2026-04-19 09:13:46.710000,overwrite
silver.slv_open_order_monthly,success,109989,5,2026-04-19 09:13:46.430000,overwrite
silver.slv_invoice_weekly,success,15801991,144,2026-04-19 09:13:46.393333,overwrite
silver.slv_invoice_detail_line_level,success,36109369,20,2026-04-19 09:10:33.580000,overwrite
silver.slv_forecast_demand_monthly,success,13876949,44,2026-04-19 09:10:30.813333,overwrite
silver.slv_open_order_line_level,success,233634,6,2026-04-19 09:10:29.856667,overwrite
gold.gld_fact_flat_forecast_actual,success,14763232,21,2026-04-19 06:58:56.873333,overwrite
gold.gld_fact_forecast_kpi,success,9113008,11,2026-04-19 06:58:56.833333,overwrite
silver.slv_naive_forecast_monthly,success,334086,7,2026-04-19 06:54:44.410000,overwrite
silver.slv_invoice_weekly,success,15801991,157,2026-04-19 06:49:45.016667,overwrite
silver.slv_actual_demand_monthly,success,552197,26,2026-04-19 06:49:43.840000,overwrite
silver.slv_open_order_monthly,success,109989,6,2026-04-19 06:49:43.823333,overwrite
silver.slv_actual_demand_weekly,success,1081394,20,2026-04-19 06:49:43.820000,overwrite
silver.slv_invoice_detail_line_level,success,36109369,26,2026-04-19 06:46:13.786667,overwrite
silver.slv_open_order_line_level,success,233634,13,2026-04-19 06:46:12.910000,overwrite
silver.slv_forecast_demand_monthly,success,13876949,60,2026-04-19 06:46:12.700000,overwrite
bronze.brz_saleshistory_afi__invoicedetail,success,36109369,38,2026-04-19 06:39:27.956667,overwrite
bronze.ref_warehouse,success,55,1,2026-04-19 06:39:23.826667,overwrite
bronze.brz_supplychain_enh_1__demandforecastsnapshotdaily,success,1306460284,7,2026-04-19 06:39:06.290000,incremental
bronze.brz_saleshistory_afi__invoiceheader,success,4038205,35,2026-04-19 06:39:05.700000,overwrite
