lineage_id,source_schema,source_table,target_schema,target_table,relationship_type,sp_name
1,ReferenceMaster_Enh,Calendar,ForecastAccuracy_DW,DimCalendar,direct,ForecastAccuracy_DW.DimCalendar
2,ReferenceMaster_Enh,CustomerGrouping,ForecastAccuracy_DW,DimCustomerGrouping,direct,ForecastAccuracy_DW.DimCustomerGrouping
3,ReferenceMaster_Enh,ForecastHorizon,ForecastAccuracy_DW,DimForecastHorizon,direct,ForecastAccuracy_DW.DimForecastHorizon
4,ReferenceMaster_Enh,ItemMaster,ForecastAccuracy_DW,DimProduct,direct,ForecastAccuracy_DW.DimProduct
5,ReferenceMaster_Enh,Warehouse,ForecastAccuracy_DW,DimWarehouse,direct,ForecastAccuracy_DW.DimWarehouse
6,ForecastHistory_Enh,ForecastDemandMonthly,ForecastAccuracy_DW,FactForecastActual,direct,ForecastAccuracy_DW.FactForecastActual
7,ForecastHistory_Enh,NaiveForecastMonthly,ForecastAccuracy_DW,FactForecastActual,direct,ForecastAccuracy_DW.FactForecastActual
8,SalesHistory_Enh,ActualDemandMonthly,ForecastAccuracy_DW,FactForecastActual,direct,ForecastAccuracy_DW.FactForecastActual
9,ForecastHistory_Enh,ForecastDemandMonthly,ForecastAccuracy_DW,FactForecastKpi,direct,ForecastAccuracy_DW.FactForecastKpi
10,ForecastHistory_Enh,NaiveForecastMonthly,ForecastAccuracy_DW,FactForecastKpi,direct,ForecastAccuracy_DW.FactForecastKpi
11,ReferenceMaster_Enh,ForecastHorizon,ForecastAccuracy_DW,FactForecastKpi,direct,ForecastAccuracy_DW.FactForecastKpi
12,SalesHistory_Enh,ActualDemandMonthly,ForecastAccuracy_DW,FactForecastKpi,direct,ForecastAccuracy_DW.FactForecastKpi
13,Enterprise_Lakehouse,SupplyChain_Enh_1.DemandForecastSnapshotDaily,ForecastHistory_Enh,ForecastDemandMonthly,direct,ForecastHistory_Enh.ForecastDemandMonthly
14,ReferenceMaster_Enh,Calendar,ForecastHistory_Enh,NaiveForecastMonthly,direct,ForecastHistory_Enh.NaiveForecastMonthly
15,SalesHistory_Enh,ActualDemandMonthly,ForecastHistory_Enh,NaiveForecastMonthly,direct,ForecastHistory_Enh.NaiveForecastMonthly
16,ForecastAccuracy_DW,DimCalendar,InventoryHealth_DW,CogsRollingHelper,direct,InventoryHealth_DW.CogsRollingHelper
17,InventoryHistory_Enh,CostCurrent,InventoryHealth_DW,CogsRollingHelper,direct,InventoryHealth_DW.CogsRollingHelper
18,InventoryHistory_Enh,SalesShipment,InventoryHealth_DW,CogsRollingHelper,direct,InventoryHealth_DW.CogsRollingHelper
19,ReferenceMaster_Enh,Calendar,InventoryHealth_DW,DimDate,direct,InventoryHealth_DW.DimDate
20,InventoryHistory_Enh,ItemMasterExt,InventoryHealth_DW,DimItem,direct,InventoryHealth_DW.DimItem
21,manual,manual,InventoryHealth_DW,DimRuleVersion,direct,InventoryHealth_DW.DimRuleVersion
22,ReferenceMaster_Enh,Vendor,InventoryHealth_DW,DimVendor,direct,InventoryHealth_DW.DimVendor
23,InventoryHistory_Enh,WarehouseExt,InventoryHealth_DW,DimWarehouse,direct,InventoryHealth_DW.DimWarehouse
24,ForecastAccuracy_DW,DimCalendar,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
25,InventoryHealth_DW,CogsRollingHelper,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
26,InventoryHistory_Enh,AwdHelper,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
27,InventoryHistory_Enh,CostCurrent,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
28,InventoryHistory_Enh,HoldingTransfer,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
29,InventoryHistory_Enh,HoldingTransferSnapshotDaily,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
30,InventoryHistory_Enh,InventoryCurrent,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
31,InventoryHistory_Enh,InventorySnapshotWeekly,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
32,InventoryHistory_Enh,ItemMasterExt,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
33,InventoryHistory_Enh,LastInvoiceHelper,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
34,InventoryHistory_Enh,ManufacturingOrder,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
35,InventoryHistory_Enh,ManufacturingOrderSnapshotDaily,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
36,InventoryHistory_Enh,MovementFlagHelper,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
37,InventoryHistory_Enh,PurchaseOrder,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
38,InventoryHistory_Enh,PurchaseOrderSnapshotDaily,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
39,InventoryHistory_Enh,SafetyStockHelper,InventoryHealth_DW,FactInventoryHealthSnapshot,direct,InventoryHealth_DW.FactInventoryHealthSnapshot
40,ForecastAccuracy_DW,DimCalendar,InventoryHealth_DW,FactInventoryRiskForward,direct,InventoryHealth_DW.FactInventoryRiskForward
41,InventoryHistory_Enh,AllocatedDemandCandidate,InventoryHealth_DW,FactInventoryRiskForward,direct,InventoryHealth_DW.FactInventoryRiskForward
42,InventoryHistory_Enh,AtpWeekEnding,InventoryHealth_DW,FactInventoryRiskForward,direct,InventoryHealth_DW.FactInventoryRiskForward
43,InventoryHistory_Enh,ItemMasterExt,InventoryHealth_DW,FactInventoryRiskForward,direct,InventoryHealth_DW.FactInventoryRiskForward
44,InventoryHistory_Enh,SupplyPlan,InventoryHealth_DW,FactInventoryRiskForward,direct,InventoryHealth_DW.FactInventoryRiskForward
45,Enterprise_Lakehouse,CustomerOrders_AFI.OpenOrderDetail,InventoryHistory_Enh,AllocatedDemandCandidate,direct,InventoryHistory_Enh.AllocatedDemandCandidate
46,Enterprise_Lakehouse,CustomerOrders_AFI.OpenOrderHeader,InventoryHistory_Enh,AllocatedDemandCandidate,direct,InventoryHistory_Enh.AllocatedDemandCandidate
47,Enterprise_Lakehouse,Wholesale_Purchasing_AFI.ATPSUM,InventoryHistory_Enh,AtpWeekEnding,direct,InventoryHistory_Enh.AtpWeekEnding
48,InventoryHistory_Enh,ForecastSnapshotWeekly,InventoryHistory_Enh,AwdHelper,direct,InventoryHistory_Enh.AwdHelper
49,InventoryHistory_Enh,InventoryCurrent,InventoryHistory_Enh,AwdHelper,direct,InventoryHistory_Enh.AwdHelper
50,InventoryHistory_Enh,InventorySnapshotWeekly,InventoryHistory_Enh,AwdHelper,direct,InventoryHistory_Enh.AwdHelper
51,InventoryHistory_Enh,SalesShipment,InventoryHistory_Enh,AwdHelper,direct,InventoryHistory_Enh.AwdHelper
52,Enterprise_Lakehouse,ItemMaster_AFI.ITMRVA,InventoryHistory_Enh,CostCurrent,direct,InventoryHistory_Enh.CostCurrent
53,Enterprise_Lakehouse,Wholesale_DemandPlanning_AFI.DemandForecast,InventoryHistory_Enh,ForecastCurrent,direct,InventoryHistory_Enh.ForecastCurrent
54,Enterprise_Lakehouse,SupplyChain_Enh_1.DemandForecastSnapshotWeekly,InventoryHistory_Enh,ForecastSnapshotWeekly,direct,InventoryHistory_Enh.ForecastSnapshotWeekly
