sp_name,view_name,target_schema,target_table,layer,load_type,frequency,execution_order,depends_on,source_objects,is_active
ForecastHistory_Enh.ForecastDemandMonthly,ForecastHistory_Enh.v_ForecastDemandMonthly,ForecastHistory_Enh,ForecastDemandMonthly,DomainSilver,overwrite,daily,1,,"[""Staging_Wrk.DemandForecastSnapshotDailyEdw"",""ReferenceMaster_Enh.ForecastCycle"",""ReferenceMaster_Enh.Calendar""]",True
ForecastHistory_Enh.NaiveForecastMonthly,ForecastHistory_Enh.v_NaiveForecastMonthly,ForecastHistory_Enh,NaiveForecastMonthly,DomainSilver,overwrite,daily,1,"[""SalesHistory_ENH.ActualDemandMonthly""]","[""SalesHistory_Enh.ActualDemandMonthly"",""ReferenceMaster_Enh.Calendar""]",True
OpenOrderHistory_Enh.OpenOrderLineLevel,OpenOrderHistory_Enh.v_OpenOrderLineLevel,OpenOrderHistory_Enh,OpenOrderLineLevel,DomainSilver,overwrite,daily,1,,"[""Enterprise_Lakehouse.Wholesale_Codis_AFI.codatan"",""Enterprise_Lakehouse.Wholesale_Codis_AFI.COMAST"",""Enterprise_Lakehouse.Wholesale_Codis_AFI.EXTORD"",""Enterprise_Lakehouse.Wholesale_Codis_AFI.EXTORIT"",""ReferenceMaster_Enh.ItemMaster"",""ReferenceMaster_Enh.OrderType""]",True
OpenOrderHistory_Enh.OpenOrderMonthly,OpenOrderHistory_Enh.v_OpenOrderMonthly,OpenOrderHistory_Enh,OpenOrderMonthly,DomainSilver,overwrite,daily,1,"[""OpenOrderHistory_ENH.OpenOrderLineLevel""]","[""OpenOrderHistory_Enh.OpenOrderLineLevel"",""ReferenceMaster_Enh.Calendar"",""ReferenceMaster_Enh.CustomerAccountGroup""]",True
SalesHistory_Enh.ActualDemandMonthly,SalesHistory_Enh.v_ActualDemandMonthly,SalesHistory_Enh,ActualDemandMonthly,DomainSilver,overwrite,daily,1,"[""SalesHistory_ENH.InvoiceDetailLineLevel"",""OpenOrderHistory_ENH.OpenOrderLineLevel""]","[""SalesHistory_Enh.InvoiceDetailLineLevel"",""OpenOrderHistory_Enh.OpenOrderLineLevel"",""ReferenceMaster_Enh.Calendar"",""ReferenceMaster_Enh.CustomerAccountGroup""]",True
SalesHistory_Enh.ActualDemandWeekly,SalesHistory_Enh.v_ActualDemandWeekly,SalesHistory_Enh,ActualDemandWeekly,DomainSilver,overwrite,daily,1,"[""SalesHistory_ENH.InvoiceDetailLineLevel"",""OpenOrderHistory_ENH.OpenOrderLineLevel""]","[""SalesHistory_Enh.InvoiceDetailLineLevel"",""OpenOrderHistory_Enh.OpenOrderLineLevel"",""ReferenceMaster_Enh.Calendar"",""ReferenceMaster_Enh.CustomerAccountGroup""]",True
SalesHistory_Enh.InvoiceDetailLineLevel,SalesHistory_Enh.v_InvoiceDetailLineLevel,SalesHistory_Enh,InvoiceDetailLineLevel,DomainSilver,overwrite,daily,1,,"[""Staging_Wrk.InvoiceDetailEdw"",""Staging_Wrk.InvoiceHeaderEdw"",""ReferenceMaster_Enh.CustomerAccountGroup""]",True
SalesHistory_Enh.InvoiceWeekly,SalesHistory_Enh.v_InvoiceWeekly,SalesHistory_Enh,InvoiceWeekly,DomainSilver,overwrite,daily,1,"[""SalesHistory_ENH.InvoiceDetailLineLevel""]","[""SalesHistory_Enh.InvoiceDetailLineLevel"",""ReferenceMaster_Enh.Calendar""]",True
ForecastAccuracy_DW.DimCalendar,ForecastAccuracy_DW.v_DimCalendar,ForecastAccuracy_DW,DimCalendar,Gold,overwrite,daily,1,,"[""ReferenceMaster_Enh.Calendar""]",True
ForecastAccuracy_DW.DimCustomerGrouping,ForecastAccuracy_DW.v_DimCustomerGrouping,ForecastAccuracy_DW,DimCustomerGrouping,Gold,overwrite,daily,1,,"[""ReferenceMaster_Enh.CustomerGrouping""]",True
ForecastAccuracy_DW.DimForecastHorizon,ForecastAccuracy_DW.v_DimForecastHorizon,ForecastAccuracy_DW,DimForecastHorizon,Gold,overwrite,daily,1,,"[""ReferenceMaster_Enh.ForecastHorizon""]",True
ForecastAccuracy_DW.DimProduct,ForecastAccuracy_DW.v_DimProduct,ForecastAccuracy_DW,DimProduct,Gold,overwrite,daily,1,,"[""Staging_Wrk.ProductEdw""]",True
ForecastAccuracy_DW.DimWarehouse,ForecastAccuracy_DW.v_DimWarehouse,ForecastAccuracy_DW,DimWarehouse,Gold,overwrite,daily,1,,"[""ReferenceMaster_Enh.Warehouse""]",True
ForecastAccuracy_DW.FactForecastActual,ForecastAccuracy_DW.v_FactForecastActual,ForecastAccuracy_DW,FactForecastActual,Gold,overwrite,daily,1,"[""SalesHistory_ENH.ActualDemandMonthly"",""ForecastHistory_ENH.ForecastDemandMonthly"",""ForecastHistory_ENH.NaiveForecastMonthly""]","[""SalesHistory_Enh.ActualDemandMonthly"",""ForecastHistory_Enh.ForecastDemandMonthly"",""ForecastHistory_Enh.NaiveForecastMonthly""]",True
