sp_name,status,rows_affected,duration_seconds,start_time,load_type
gold.gld_fact_flat_forecast_actual,success,46839369,30,2026-04-29 19:26:54.846667,overwrite
gold.gld_fact_forecast_kpi,success,35780348,46,2026-04-29 19:26:54.700000,overwrite
silver.slv_naive_forecast_monthly,success,2809566,31,2026-04-29 19:22:48.740000,overwrite
silver.slv_actual_demand_monthly,success,3606644,87,2026-04-29 19:16:56.293333,overwrite
silver.slv_actual_demand_weekly,success,9917696,88,2026-04-29 19:16:56.290000,overwrite
silver.slv_invoice_weekly,success,37435902,205,2026-04-29 19:16:55,overwrite
silver.slv_open_order_monthly,success,94843,6,2026-04-29 19:16:54.933333,overwrite
silver.slv_forecast_demand_monthly,success,40423159,160,2026-04-29 19:11:29.673333,overwrite
silver.slv_invoice_detail_line_level,success,88108216,49,2026-04-29 19:11:29.590000,overwrite
silver.slv_open_order_line_level,success,197688,15,2026-04-29 19:11:29.503333,overwrite
bronze.brz_supplychain_enh_1__demandforecastsnapshotdaily,success,42406201,44,2026-04-29 19:09:06.933333,overwrite
bronze.brz_wholesale_codis_afi__comast,success,220115,2,2026-04-29 19:08:04.110000,overwrite
bronze.brz_saleshistory_afi__invoiceheader,success,24865091,71,2026-04-29 19:07:45.883333,overwrite
bronze.brz_saleshistory_afi__invoicedetail,success,88108213,75,2026-04-29 19:07:42.480000,overwrite
bronze.ref_warehouse,success,55,6,2026-04-29 19:07:42.330000,overwrite
bronze.brz_wholesale_codis_afi__extord,success,220276,5,2026-04-29 19:07:41.273333,overwrite
bronze.brz_wholesale_codis_afi__codatan,success,918213,15,2026-04-29 19:07:41.120000,overwrite
bronze.brz_wholesale_codis_afi__extorit,success,912132,15,2026-04-29 19:07:41.043333,overwrite
silver.slv_naive_forecast_monthly,success,2799569,32,2026-04-28 19:18:54.306667,overwrite
silver.slv_invoice_weekly,success,37388968,192,2026-04-28 19:13:00.453333,overwrite
silver.slv_actual_demand_monthly,success,3594098,67,2026-04-28 19:12:59.666667,overwrite
silver.slv_actual_demand_weekly,success,9903189,97,2026-04-28 19:12:59.363333,overwrite
silver.slv_open_order_monthly,success,96884,5,2026-04-28 19:12:59.350000,overwrite
silver.slv_open_order_line_level,success,202184,11,2026-04-28 19:09:23.476667,overwrite
silver.slv_forecast_demand_monthly,success,40423159,64,2026-04-28 19:09:23.123333,overwrite
silver.slv_invoice_detail_line_level,success,88011466,76,2026-04-28 19:09:23.103333,overwrite
gold.gld_fact_flat_forecast_actual,success,46816826,28,2026-04-28 18:42:48.890000,overwrite
gold.gld_fact_forecast_kpi,success,35771196,51,2026-04-28 18:42:48.873333,overwrite
silver.slv_naive_forecast_monthly,success,2799569,32,2026-04-28 18:39:52.216667,overwrite
silver.slv_invoice_weekly,success,37388968,172,2026-04-28 18:34:43.646667,overwrite
silver.slv_open_order_monthly,success,96884,7,2026-04-28 18:34:43.643333,overwrite
silver.slv_actual_demand_weekly,success,9903189,62,2026-04-28 18:34:43.480000,overwrite
silver.slv_actual_demand_monthly,success,3594098,67,2026-04-28 18:34:43.270000,overwrite
silver.slv_invoice_detail_line_level,success,88011466,50,2026-04-28 18:29:23.343333,overwrite
silver.slv_open_order_line_level,success,202184,14,2026-04-28 18:29:23.070000,overwrite
silver.slv_forecast_demand_monthly,success,40423159,163,2026-04-28 18:29:23.063333,overwrite
bronze.brz_wholesale_codis_afi__comast,success,225916,2,2026-04-28 18:25:21.320000,overwrite
bronze.brz_wholesale_codis_afi__extorit,success,912132,15,2026-04-28 18:25:15.736667,overwrite
bronze.brz_saleshistory_afi__invoicedetail,success,88011463,78,2026-04-28 18:24:56.863333,overwrite
bronze.brz_saleshistory_afi__invoiceheader,success,24837216,75,2026-04-28 18:24:56.693333,overwrite
bronze.brz_wholesale_codis_afi__codatan,success,918213,18,2026-04-28 18:24:56.583333,overwrite
bronze.brz_wholesale_codis_afi__extord,success,225567,8,2026-04-28 18:24:56.453333,overwrite
bronze.ref_warehouse,success,55,5,2026-04-28 18:24:56.013333,overwrite
bronze.brz_supplychain_enh_1__demandforecastsnapshotdaily,success,42406201,48,2026-04-28 18:24:56.003333,overwrite
bronze.ref_calendar,success,21551,5,2026-04-24 09:48:09.940000,overwrite
gold.gld_fact_forecast_kpi,success,36357300,49,2026-04-23 16:41:52.396667,overwrite
gold.gld_fact_flat_forecast_actual,success,48762164,23,2026-04-23 16:41:27.516667,overwrite
silver.slv_forecast_demand_monthly,success,42405685,170,2026-04-23 16:38:35.426667,overwrite
bronze.brz_supplychain_enh_1__demandforecastsnapshotdaily,success,42405685,46,2026-04-23 16:37:47.520000,overwrite
gold.gld_fact_flat_forecast_actual,success,24234696,27,2026-04-23 15:50:06.960000,overwrite
