database,schema,view_name,definition
SupplyChain_Processing_Warehouse,SalesHistory_Enh,v_ActualDemandWeekly,"-- ---- SalesHistory_Enh.v_ActualDemandWeekly ----
CREATE VIEW SalesHistory_Enh.v_ActualDemandWeekly AS
WITH cf AS (SELECT TOP 1 FSCYearNum FROM ReferenceMaster_Enh.Calendar WHERE Date=CAST(GETDATE() AS DATE))
SELECT INV.ItemSKU, INV.WarehouseCode,
    CASE WHEN CAL.FSCWeekFirst<'2025-04-01' THEN 'AFICONS' ELSE INV.CustomerGroupCode END AS CustomerGroupCode,
    CAL.FSCWeekFirst, CAL.FSCWeekLast,
    SUM(INV.QtyShipped) AS QtyDemand, SUM(INV.AmtNetSales) AS AmtDemand, 'Invoice' AS StatusCode, 'Actual Demand' AS VersionName
FROM SalesHistory_Enh.InvoiceDetailLineLevel INV
INNER JOIN ReferenceMaster_Enh.Calendar CAL ON CAL.Date=DATEADD(DAY,-INV.LeadTimeDaysNum,INV.CurrentRequest)
CROSS JOIN cf WHERE INV.QtyShipped>0 AND CAL.FSCYearNum BETWEEN cf.FSCYearNum-3 AND cf.FSCYearNum+1
GROUP BY INV.ItemSKU, INV.WarehouseCode, CASE WHEN CAL.FSCWeekFirst<'2025-04-01' THEN 'AFICONS' ELSE INV.CustomerGroupCode END, CAL.FSCWeekFirst, CAL.FSCWeekLast
UNION ALL
SELECT OO.ItemSKU, OO.WarehouseCode,
    CASE WHEN CAL.FSCWeekFirst<'2025-04-01' THEN 'AFICONS' ELSE CG.CustomerGroupCode END,
    CAL.FSCWeekFirst, CAL.FSCWeekLast,
    SUM(OO.QtyOpenOrder), SUM(OO.AmtOpenOrder), 'Open Order', 'Actual Demand'
FROM OpenOrderHistory_Enh.OpenOrderLineLevel OO
INNER JOIN ReferenceMaster_Enh.Calendar CAL ON CAL.Date=DATEADD(DAY,-OO.LeadTimeDaysNum,OO.CurrentRequest)
LEFT JOIN ReferenceMaster_Enh.CustomerAccountGroup CG ON CG.Customer=OO.Customer
CROSS JOIN cf WHERE OO.AllocationFlagCode='2' AND CAL.FSCYearNum BETWEEN cf.FSCYearNum-3 AND cf.FSCYearNum+1
GROUP BY OO.ItemSKU, OO.WarehouseCode, CASE WHEN CAL.FSCWeekFirst<'2025-04-01' THEN 'AFICONS' ELSE CG.CustomerGroupCode END, CAL.FSCWeekFirst, CAL.FSCWeekLast"
SupplyChain_Processing_Warehouse,SalesHistory_Enh,v_InvoiceDetailLineLevel,"
CREATE   VIEW SalesHistory_Enh.v_InvoiceDetailLineLevel AS
-- 2026-05-19 SWAP: was Staging_Wrk.InvoiceDetailEdw + InvoiceHeaderEdw (SC_LH ver2 → DF2)
-- Now reads EL.SalesHistory_AFI.InvoiceDetail + InvoiceHeader directly (ADR-002 EDW Exit)
-- Column rename: Edw aliases → EL native (InvoiceID→InvoiceNumber, etc.)
SELECT 
    INV.InvoiceNumber                                AS InvoiceID,
    INV.ExtendedInvoiceNumber                        AS InvoiceExtended,
    INV.OrderNumber                                  AS OrderID,
    INV.ItemSequence                                 AS ItemSequenceNum,
    INV.CustomerNumber                               AS Customer,
    INV.ShiptoNumber                                 AS ShipToCode,
    UPPER(RTRIM(CASE WHEN INV.ShiptoNumber IS NULL OR TRIM(INV.ShiptoNumber)='' THEN TRIM(INV.CustomerNumber) ELSE CONCAT(TRIM(INV.CustomerNumber),'-',TRIM(INV.ShiptoNumber)) END)) AS AccountShipTo,
    INV.ItemSKU,
    INV.Warehouse                                    AS WarehouseCode,
    UPPER(CG.CustomerGroupCode)                      AS CustomerGroupCode,
    IH.LeadTime                                      AS LeadTimeDaysNum,
    INV.QuantityShipped                              AS QtyShipped,
    INV.QuantityOrdered                              AS QtyOrdered,
    INV.QuantityBackOrdered                          AS QtyBackordered,
    INV.InvoiceAmount                                AS AmtInvoice,
    INV.NetSales                                     AS AmtNetSales,
    INV.Price                                        AS AmtPrice,
    INV.StandardPrice                                AS AmtStandardPrice,
    INV.ContractPrice                                AS AmtContractPrice,
    INV.Discount                                     AS AmtDiscount,
    INV.PriceAdjustment                              AS AmtPriceAdjustment,
    INV.Freight                                      AS AmtFreight,
    INV.InvoiceDate,
    INV.OrderDate,
    INV.RequestDate                                  AS Request,
    INV.CurrentRequestDate                           AS CurrentRequest,
    INV.CurrentPromiseDate                           AS CurrentPromise,
    INV.OriginalRequestDate                          AS OriginalRequest,
    INV.OriginalPromiseDate                          AS OriginalPromise,
    INV.PromisedDelivery,
    INV.DeliveryDate                                 AS Delivery,
    INV.ActualDelivery,
    INV.OrderType                                    AS OrderTypeCode,
    INV.OrderType3                                   AS OrderType3Code,
    INV.CreditCode,
    INV.ItemClass                                    AS ItemClassCode,
    INV.OrderItemStatus                              AS OrderItemStatusCode
FROM [Enterprise_Lakehouse].[SalesHistory_AFI].[InvoiceDetail] AS INV
LEFT JOIN [Enterprise_Lakehouse].[SalesHistory_AFI].[InvoiceHeader] AS IH
       ON INV.InvoiceNumber=IH.InvoiceNumber AND INV.InvoiceDate=IH.InvoiceDate AND INV.OrderDate=IH.OrderDate AND INV.OrderNumber=IH.OrderNumber
LEFT JOIN ReferenceMaster_Enh.CustomerAccountGroup AS CG ON CG.Customer=INV.CustomerNumber
"
SupplyChain_Processing_Warehouse,SalesHistory_Enh,v_InvoiceWeekly,"-- ---- SalesHistory_Enh.v_InvoiceWeekly ----
CREATE VIEW SalesHistory_Enh.v_InvoiceWeekly AS
WITH cf AS (SELECT TOP 1 FSCYearNum FROM ReferenceMaster_Enh.Calendar WHERE Date=CAST(GETDATE() AS DATE))
SELECT INV.AccountShipTo, INV.ItemSKU, INV.WarehouseCode, INV.CustomerGroupCode,
    CAL.FSCWeekFirst, CAL.FSCWeekLast,
    SUM(INV.QtyShipped) AS QtyShipped, SUM(INV.AmtNetSales) AS AmtNetSales,
    SUM(INV.AmtInvoice) AS AmtInvoice, SUM(INV.AmtFreight) AS AmtFreight,
    COUNT(*) AS InvoiceLines, COUNT(DISTINCT INV.InvoiceID) AS DistinctInvoices
FROM SalesHistory_Enh.InvoiceDetailLineLevel INV
INNER JOIN ReferenceMaster_Enh.Calendar CAL ON CAL.Date=INV.InvoiceDate
CROSS JOIN cf WHERE INV.QtyShipped>0 AND CAL.FSCYearNum>=cf.FSCYearNum-3
GROUP BY INV.AccountShipTo, INV.ItemSKU, INV.WarehouseCode, INV.CustomerGroupCode, CAL.FSCWeekFirst, CAL.FSCWeekLast"
SupplyChain_Processing_Warehouse,InventoryHistory_Enh,v_ItemBalanceHistorical,"
CREATE   VIEW InventoryHistory_Enh.v_ItemBalanceHistorical AS
-- Source: SC_LH.dbo.itembalance loaded via df_brz_ItemBalance (DF2 workaround pending EL.Inventory_Enh_History.ItemBalance promote)
-- Grain: (ItemSku, WarehouseCode, WeekEndingDate); 107 dups detected → ROW_NUMBER dedupe by latest OnHandQty
-- History: 2021-03-06 → 2026-05-16 (5 years; replaces stale EL.DemandInventorySnapshotWeekly for historical)
-- Future: when Dhivya promotes Enterprise.Inventory_Enh_History.ItemBalance, swap source_objects in registry
WITH ranked AS (
    SELECT
        TRIM(ItemNumber)                  AS ItemSku,
        TRIM(Warehouse)                   AS WarehouseCode,
        CAST(DateWeekEnding AS DATE)      AS WeekEndingDate,
        CAST(OnHandQty AS DECIMAL(18,4))  AS OnHandQty,
        TRIM(ItemStatus)                  AS ItemStatus,
        ROW_NUMBER() OVER (
            PARTITION BY TRIM(ItemNumber), TRIM(Warehouse), CAST(DateWeekEnding AS DATE)
            ORDER BY OnHandQty DESC, ItemStatus
        ) AS rn
    FROM [SupplyChain_Lakehouse].[dbo].[itembalance]
    WHERE ItemNumber IS NOT NULL AND Warehouse IS NOT NULL
      AND TRIM(ItemNumber) <> '' AND TRIM(Warehouse) <> ''
)
SELECT
    CAST(ItemSku            AS VARCHAR(50))   AS ItemSku,
    CAST(WarehouseCode      AS VARCHAR(50))   AS WarehouseCode,
    CAST(WeekEndingDate     AS DATE)          AS WeekEndingDate,
    CAST(OnHandQty          AS DECIMAL(18,4)) AS OnHandQty,
    CAST(ItemStatus         AS VARCHAR(10))   AS ItemStatus,
    CAST('SupplyChain_Lakehouse'    AS VARCHAR(64))  AS SourceSystem,
    CAST('dbo.itembalance (DF2)'    AS VARCHAR(128)) AS SourceTable
FROM ranked WHERE rn = 1
"
SupplyChain_Processing_Warehouse,InventoryHistory_Enh,v_PurchaseOrderSnapshotHistorical,"
CREATE   VIEW InventoryHistory_Enh.v_PurchaseOrderSnapshotHistorical AS
-- Source: SC_LH.dbo.purchaseordersnapshot loaded via df_brz_PurchaseOrderSnapshot (DF2 workaround, 2B rows ⚠️)
-- Grain: (SnapshotDate, ItemSku, WarehouseCode, VendorNumber, StatusCode)
-- Phase 2 PO-as-of feature: capture historical PO state by SnapshotDate
-- posDueDt is AS/400 CYYMMDD decimal (e.g., 1230130 = 2023-01-30)
SELECT
    CAST(posSnapshot AS DATE)                                 AS SnapshotDate,
    CAST(TRIM(posItNbr)             AS VARCHAR(50))           AS ItemSku,
    CAST(TRIM(posWhse)              AS VARCHAR(50))           AS WarehouseCode,
    CAST(TRIM(posVndnr)             AS VARCHAR(50))           AS VendorNumber,
    CAST(posQtyOr                   AS DECIMAL(18,4))         AS OrderedQty,
    CAST(TRIM(posPstts)             AS VARCHAR(10))           AS StatusCode,
    CAST(
        TRY_CAST(
            DATEFROMPARTS(
                1900 + 100 * (TRY_CAST(posDueDt AS INT) / 1000000) + ((TRY_CAST(posDueDt AS INT) % 1000000) / 10000),
                (TRY_CAST(posDueDt AS INT) % 10000) / 100,
                TRY_CAST(posDueDt AS INT) % 100
            ) AS DATE)                                        AS DATE)              AS DueDate,
    CAST(posUUD1PM                  AS DECIMAL(18,4))         AS UnitCost,
    CAST('SupplyChain_Lakehouse'                  AS VARCHAR(64))  AS SourceSystem,
    CAST('dbo.purchaseordersnapshot (DF2)'        AS VARCHAR(128)) AS SourceTable
FROM [SupplyChain_Lakehouse].[dbo].[purchaseordersnapshot]
WHERE posItNbr IS NOT NULL AND posWhse IS NOT NULL
  AND TRIM(posItNbr) <> '' AND TRIM(posWhse) <> ''
"
SupplyChain_Processing_Warehouse,Meta,v_AccessDecision,"CREATE VIEW [Meta].[v_AccessDecision] AS

SELECT
    asset_id,
    canonical_layer,
    access_mode,
    physical_item,
    physical_schema,
    physical_object,
    source_contract_status,
    approval_status,
    edw_exit_status,
    CASE
        WHEN access_mode = 'EDWSupplement' THEN 'Use Staging until exit validation and Bob/Rakesh approval pass'
        WHEN access_mode = 'DirectShortcut' THEN 'Read Enterprise_Lakehouse shortcut directly after source contract validation'
        WHEN access_mode = 'WarehouseTransform' THEN 'Run Warehouse-native Domain Silver transform'
        WHEN access_mode = 'GoldPublish' THEN 'Publish physical Gold table for Direct Lake serving'
        ELSE 'Review access policy'
    END AS access_decision
FROM Meta.AssetRegistry
WHERE is_active = 1
"
SupplyChain_Processing_Warehouse,Meta,v_RegistryCompat,"CREATE VIEW [Meta].[v_RegistryCompat] AS

SELECT
    legacy_sp_name AS sp_name,
    legacy_view_name AS view_name,
    legacy_target_schema AS target_schema,
    legacy_target_table AS target_table,
    legacy_layer AS layer,
    load_type,
    frequency,
    scheduled_hour,
    CAST(NULL AS INT) AS execution_order,
    CAST(NULL AS VARCHAR(128)) AS parallel_group,
    depends_on,
    source_objects,
    watermark_column,
    primary_key,
    is_active,
    last_load_date,
    last_watermark_value,
    next_run_time,
    rows_loaded,
    project,
    date_key,
    date_range_days,
    cron_expression,
    canonical_layer,
    access_mode,
    physical_item,
    physical_schema,
    physical_object,
    approval_status,
    edw_exit_status
FROM Meta.AssetRegistry
"
SupplyChain_Processing_Warehouse,Meta,v_SilverWaveRuntime,"
CREATE VIEW Meta.v_SilverWaveRuntime AS
SELECT
    r.project,
    r.wave_number,
    r.asset_id,
    r.physical_schema AS target_schema,
    r.physical_object AS target_object,
    a.depends_on AS depends_on_asset_ids,
    CASE
        WHEN a.is_active = 1
         AND (a.next_run_time IS NULL OR a.next_run_time <= SYSUTCDATETIME()) THEN 1
        ELSE 0
    END AS is_due,
    CAST('Pending' AS VARCHAR(80)) AS execution_status,
    r.computed_at_utc
FROM Meta.SilverDagWaveRuntime r
JOIN Meta.AssetRegistry a
    ON a.asset_id = r.asset_id;
"
SupplyChain_Processing_Warehouse,Meta,v_sp_registry,"
CREATE VIEW Meta.v_sp_registry AS
SELECT
    r.asset_id AS sp_name,
    r.legacy_view_name AS view_name,
    r.physical_schema AS target_schema,
    r.physical_object AS target_table,
    r.canonical_layer AS layer,
    r.load_type, r.frequency, r.scheduled_hour,
    COALESCE(w.wave_number, CASE WHEN r.canonical_layer='Gold' THEN 5 ELSE 1 END) AS execution_order,
    r.depends_on, r.source_objects, r.watermark_column, r.primary_key,
    r.is_active, r.last_load_date, r.last_watermark_value, r.next_run_time,
    r.rows_loaded, r.project, r.date_key, r.date_range_days, r.cron_expression, r.access_mode
FROM Meta.AssetRegistry r
LEFT JOIN Meta.SilverDagWaveRuntime w ON w.asset_id = r.asset_id
"
SupplyChain_Processing_Warehouse,ReferenceMaster_Enh,v_Vendor,"-- ============================================================
-- Silver Views — InventoryHealth Project (project='inventory_health')
-- ============================================================
-- Layer: Silver. Pattern: 1 generic SP (Meta.usp_GenericLoad) + N views.
--   Each view encapsulates business logic from the deliverable v1 procs.
--   Meta.usp_GenericLoad reads Meta.AssetRegistry to know:
--     - load_type (overwrite | incremental | datekey | upsert | ...)
--     - watermark_column / primary_key / date_key (incremental/datekey/upsert)
--     - last_watermark_value (for incremental)
--   At CTAS time: SELECT * FROM <view> + auto-inject LoadDT column.
-- Source (target WH): SupplyChain_Processing_Warehouse (c0262cef-...)
-- Target schemas: InventoryHistory_Enh (NEW) + ReferenceMaster_Enh (extend with Vendor only)
-- Reuse (do NOT recreate): ReferenceMaster_Enh.ItemMaster, ReferenceMaster_Enh.Warehouse, ReferenceMaster_Enh.Calendar
-- ============================================================
-- Track A fixes preserved (deliverable v1, 2026-05-17):
--   H1 ItemAllocationFlag=2 (Robert sign-off pending)
--   H2 ATPSUM UNPIVOT APAT01-43 only (data-shape fix)
--   H3 FG-only + WH exclusion (matches sếp's PurchaseOrderSnapshot)
--   H4 ORDER BY FiscalMonthYear (math fix, applied in gold_views)
--   H5 WeekFourFlag exact week (applied in gold_views, Robert sign-off pending)
--   M1 Saturday detection via DATENAME — N/A (handled by Meta.usp_GenericLoad cron)
--   M3 Cogs52W → Cogs52M rename (applied in gold_views, Robert sign-off pending)
--   M4 SLOB NULL guard (applied in gold_views)
--   M5 AWD COUNTROWS SUMMARIZE (applied in DAX)
--   B1 PoDetail source switched Enterprise.PoDetail (preserved below)
--   B2 ForecastCurrent reads DemandForecast (preserved below)
--   B3 Warehouse exclusion flag columns (preserved in v_WarehouseExt + v_InventoryCurrent + v_PurchaseOrder)
-- ============================================================


-- ============================================================
-- §A. ReferenceMaster_Enh — NEW Vendor view (1 NEW)
--     ItemMaster + Warehouse already exist; only Vendor is NEW.
-- ============================================================

-- ---- ReferenceMaster_Enh.v_Vendor (NEW for inventory_health) ----
-- Source: Enterprise_Lakehouse.Purchasing_AFI.VendorMaster (51 cols, 86,598 rows)
CREATE VIEW ReferenceMaster_Enh.v_Vendor AS
SELECT
    CAST(TRIM(v.VendorNumber) AS VARCHAR(50))           AS VendorNumber,
    CAST(v.VendorName         AS VARCHAR(200))          AS VendorName,
    CAST('Purchasing_AFI'     AS VARCHAR(64))           AS SourceSystem,
    CAST('VendorMaster'       AS VARCHAR(128))          AS SourceTable
FROM [Enterprise_Lakehouse].[Purchasing_AFI].[VendorMaster] v
WHERE v.VendorNumber IS NOT NULL AND TRIM(v.VendorNumber) <> ''"
